PL,2010-01-01,14094,13368,12701,12235,11950,11786,11716,11554,11398,11866,12326,12763,13221,13641,13761,14037,15511,15883,15912,16046,15726,15097,14539,13448
PL,2010-01-02,12558,11945,11666,11577,11643,11895,12512,13003,13589,14643,15395,15790,15959,16292,16173,16449,17799,18105,18023,17938,17450,16477,15694,14667
PL,2010-01-03,13569,12800,12340,12162,12146,12259,12504,12770,13106,13957,14700,15085,15330,15590,15451,15526,17294,17822,17926,18187,17692,16679,15754,14622
PL,2010-01-04,13782,13345,13124,13121,13386,14233,16455,18368,19323,19945,20041,20011,20053,20252,20004,20022,21487,21799,21660,21560,20955,19783,18180,16744
PL,2010-01-05,15680,15045,14814,14793,14958,15604,17494,19080,19933,20422,20563,20648,20497,20647,20329,20376,21921,22277,21969,21917,21259,20034,18422,17063
PL,2010-01-06,15905,15325,15034,14959,15159,15728,17804,19691,20206,20571,20659,20805,20886,21058,20730,20751,22064,22165,21838,21845,21288,19904,18355,16919
PL,2010-01-07,15903,15317,14995,14991,15195,15758,17743,19584,20145,20503,20640,20790,20846,21002,20813,20762,21961,22213,21993,21884,21206,19919,18265,17003
PL,2010-01-08,15916,15309,14961,14969,15198,15776,17789,19852,20390,20773,20713,20916,20834,21035,20720,20647,21899,22088,21836,21614,20954,19662,18349,17040
PL,2010-01-09,15915,15180,14842,14699,14669,14653,15129,15786,16519,17481,18060,18360,18403,18589,18316,18365,19525,19721,19516,19356,18768,17738,16882,15709
PL,2010-01-10,14490,13776,13276,13092,13086,13143,13244,13556,13981,15031,15816,16214,16391,16668,16420,16459,17651,18186,18297,18370,17950,17092,16231,15112
PL,2010-01-11,14147,13683,13498,13487,13787,14517,16882,18804,19547,20176,20338,20461,20629,20736,20389,20234,21487,21931,21687,21539,20890,19707,18200,16883
PL,2010-01-12,15715,15161,14869,14887,14986,15587,17618,19496,20139,20491,20487,20652,20703,20822,20519,20413,21631,22112,21863,21694,20933,19718,18312,16942
PL,2010-01-13,15769,15260,14967,14979,15175,15752,17781,19549,20173,20579,20646,20856,20810,20968,20591,20396,21663,22231,21961,21909,21192,19869,18449,17190
PL,2010-01-14,16144,15539,15295,15213,15371,15957,18047,19939,20446,20929,20897,20996,21043,21177,20828,20617,21768,22357,22089,21985,21281,20055,18533,17367
PL,2010-01-15,16308,15668,15421,15263,15448,15885,17779,20036,20578,20948,20992,21116,21156,21268,20894,20736,21781,22319,21972,21758,21058,19838,18523,17301
PL,2010-01-16,16274,15533,15249,15122,15015,15052,15616,16282,17182,18242,18771,19052,18998,19019,18496,18288,19470,20141,19841,19499,18919,17947,17039,15946
PL,2010-01-17,14872,14151,13914,13728,13662,13769,14008,14138,14631,15528,16211,16546,16513,16633,16403,16203,17296,18161,18318,18436,17937,17038,16359,15309
PL,2010-01-18,14422,13905,13689,13757,14038,14788,17153,19090,20055,20672,20832,21098,21107,21260,20840,20570,21540,22071,21753,21663,21016,19692,18342,17070
PL,2010-01-19,15971,15385,15078,15048,15244,15838,17814,19614,20376,20807,20940,21034,21041,21203,20765,20403,21356,22174,21963,21792,21136,19884,18474,17182
PL,2010-01-20,16064,15569,15246,15278,15375,15943,17918,19702,20410,20963,21001,21200,21265,21443,21018,20736,21742,22463,22163,22050,21505,20212,18804,17494
PL,2010-01-21,16414,15817,15437,15440,15596,16151,18125,19755,20485,20977,21020,21240,21276,21471,21108,20725,21528,22349,22029,21819,21341,20252,18684,17425
PL,2010-01-22,16394,15786,15488,15513,15670,16191,18026,19783,20575,20980,20938,21117,21121,21258,20886,20415,21414,22350,22119,21988,21263,20109,18814,17598
PL,2010-01-23,16509,15805,15465,15267,15380,15393,16009,16621,17583,18760,19304,19521,19359,19336,18816,18440,19355,20466,20317,20097,19612,18580,17639,16607
PL,2010-01-24,15588,14926,14554,14366,14477,14544,14681,14863,15682,16681,17216,17378,17449,17515,17287,16984,17833,19137,19505,19539,19099,18329,17499,16336
PL,2010-01-25,15488,15039,14809,14877,15082,15893,18200,19966,21130,21832,21852,21951,21906,22031,21600,21104,22054,23173,22903,22778,22114,20908,19485,18224
PL,2010-01-26,17110,16516,16301,16354,16492,17168,19118,20853,21730,22319,22400,22337,22184,22329,21959,21441,22288,23447,23286,23042,22365,21204,19835,18510
PL,2010-01-27,17480,16834,16550,16430,16673,17210,19099,20744,21505,22089,22076,22130,22107,22216,21877,21307,22024,22960,22778,22675,21921,20562,19203,18039
PL,2010-01-28,16954,16319,16025,15981,16154,16731,18352,19817,20663,21224,21346,21428,21514,21620,21270,20655,21316,22442,22151,21955,21416,20226,18848,17534
PL,2010-01-29,16467,15876,15543,15574,15753,16212,17855,19373,20252,20694,20753,20823,20779,20925,20501,20042,20632,21874,21642,21463,20727,19569,18078,16977
PL,2010-01-30,15941,15249,14861,14727,14689,14843,15326,15925,16894,17820,18338,18582,18494,18590,18104,17663,18388,19598,19594,19313,18659,17579,16682,15619
PL,2010-01-31,14705,14130,13817,13660,13654,13773,13940,14025,14736,15626,16222,16347,16347,16535,16317,16000,16613,18227,18505,18642,18215,17390,16716,15603
PL,2010-02-01,14793,14361,14137,14141,14393,15225,17446,19178,20267,20781,20790,20838,20841,20963,20539,20166,20585,21783,21668,21560,20784,19629,18283,16976
PL,2010-02-02,15909,15344,15085,15132,15261,15840,17797,19289,20066,20424,20406,20538,20584,20708,20312,19864,20362,21656,21454,21425,20792,19565,18418,17062
PL,2010-02-03,16071,15488,15263,15223,15411,15858,17687,19226,20193,20733,20906,20933,20996,21141,20669,20125,20339,21650,21519,21386,20702,19516,18145,17014
PL,2010-02-04,15960,15433,15190,15133,15378,15884,17647,19087,19879,20270,20278,20310,20171,20257,19816,19444,19918,21418,21379,21260,20621,19378,17999,16838
